co_entidade,no_entidade,no_municipio,co_uf,qt_doc_bas_vinculo_concur,qt_doc_bas_vinculo_contra,doc_publicos_principais,perc_temporarios,doc_ept,tur_ept,qt_doc_bas_disc_profissiona
43105696,ESC TECNICA EST SENADOR ERNESTO DORNELLES,Porto Alegre,43,17,29,46,0.6304347826086957,22,26,22
43132235,COL ESTADUAL SAO BORJA CESB,São Borja,43,20,34,54,0.6296296296296297,26,7,0
43058655,ESC EST ENS MED OLIVIA DE PAULA FALCAO,Erval Seco,43,10,17,27,0.6296296296296297,13,1,0
43165060,COL ESTADUAL PONCHO VERDE,Mato Leitão,43,10,17,27,0.6296296296296297,13,1,0
43026168,ESC EST ENS MED SANTO PAZINI,Braga,43,9,15,24,0.625,17,1,0
43063640,ESC EST ENS MED GETULIO VARGAS,Fontoura Xavier,43,6,10,16,0.625,14,7,0
43171834,COL ESTADUAL ILOPOLIS,Ilópolis,43,6,10,16,0.625,12,2,0
43145655,ESC EST ENS MED SAO VICENTE,São Vicente do Sul,43,14,23,37,0.6216216216216216,3,2,3
43108733,COL ESTADUAL CORONEL AFONSO EMILIO MASSOT,Porto Alegre,43,22,36,58,0.6206896551724138,8,3,8
43109314,EEEDPROFSAUDE NO HOSPITAL DE CLINICAS DE PORTO ALEGRE,Porto Alegre,43,21,34,55,0.6181818181818182,55,48,55
43126359,INST EST EDUC VISCONDE DE CAIRU,Santa Rosa,43,18,29,47,0.6170212765957447,36,14,7
43029027,INST EST EDUC JOAO NEVES DA FONTOURA,Cachoeira do Sul,43,20,32,52,0.6153846153846154,18,9,0
43125700,ESC EST ED BAS GENERAL NETO,Sant'Ana do Livramento,43,15,24,39,0.6153846153846154,23,14,10
43090923,ESC EST ENS MED NOVA BRESCIA,Nova Bréscia,43,5,8,13,0.6153846153846154,9,1,0
43095658,ESC EST ENS MED CASTRO ALVES,São José das Missões,43,5,8,13,0.6153846153846154,10,2,0
43121721,ESC EST ED BAS ESTADO DE GOIAS,Santa Cruz do Sul,43,19,30,49,0.6122448979591837,7,2,7
43012469,INST EST EDUC OSWALDO ARANHA,Alegrete,43,23,36,59,0.6101694915254238,39,13,0
43017517,INST EST EDUC AIMONE SOARES CARRICONDE,Arroio Grande,43,16,25,41,0.6097560975609756,7,4,7
43060170,ESC TECNICA EST BERNARDO VIEIRA DE MELLO,Esteio,43,16,25,41,0.6097560975609756,41,14,8
43126693,ESC EST ED BAS CRUZEIRO,Santa Rosa,43,9,14,23,0.6086956521739131,16,1,0
43129153,ESC EST ENS MED DR AUGUSTO DO NASCIMENTO E SILVA,Santo Ângelo,43,11,17,28,0.6071428571428571,19,2,0
43080545,INST EST EDUC VICENTE DUTRA,Júlio de Castilhos,43,13,20,33,0.6060606060606061,22,6,7
43097790,INST ESTADUAL CECY LEITE COSTA,Passo Fundo,43,19,29,48,0.6041666666666666,6,7,0
43147267,INST EST EDUC MADRE TEREZA,Seberi,43,18,27,45,0.6,36,7,0
43173144,ESC EST ENS MED VIRGILINO JAYME ZINN,Cachoeira do Sul,43,14,21,35,0.6,20,3,0
43140904,ESC EST ENS MED GUSTAVO LANGSCH POLIVALENTE,São Luiz Gonzaga,43,10,15,25,0.6,14,2,0
43026389,COL ESTADUAL ENGENHEIRO PAULO CHAVES,Maratá,43,6,9,15,0.6,9,1,0
43118674,ESC EST ENS MED CASTELO BRANCO,Salto do Jacuí,43,13,19,32,0.59375,14,1,0
43105181,COL ESTADUAL PROTASIO ALVES,Porto Alegre,43,24,35,59,0.5932203389830508,27,21,27
43073824,INST EST EDUC EDMUNDO ROEWER,Ibirubá,43,11,16,27,0.5925925925925926,17,5,8
43013899,ESC EST ED BAS PROF GENTIL VIEGAS CARDOSO,Alvorada,43,27,39,66,0.5909090909090909,8,5,8
43152198,INST EST EDUC CORONEL PATRICIO VIEIRA RODRIGUES,Tapes,43,18,26,44,0.5909090909090909,28,10,6
43026397,ESC EST ENS MED ERNI OSCAR FAUTH,Brochier,43,9,13,22,0.5909090909090909,12,2,0
43035418,INST EST EDUC CRISTO REDENTOR,Cândido Godói,43,14,20,34,0.5882352941176471,21,6,5
43079040,COL ESTADUAL CARLOS ALBERTO RIBAS,Jaguarão,43,14,20,34,0.5882352941176471,3,1,3
43137296,ESC EST ENS MED JOSE JOAQUIM DE ANDRADE,Barão do Triunfo,43,7,10,17,0.5882352941176471,13,2,0
43059104,ESC EST ENS MED BELIZARIO DE OLIVEIRA CARPES,Espumoso,43,7,10,17,0.5882352941176471,16,6,0
43094074,ESC EST ENS MED ILDEFONSO SIMOES LOPES,Osório,43,19,27,46,0.5869565217391305,67,14,9
43027539,INST EST EDUC DINARTE RIBEIRO,Caçapava do Sul,43,15,21,36,0.5833333333333334,13,6,7
43109187,COL ESTADUAL PROF ELMANO LAUFFER LEAL,Porto Alegre,43,15,21,36,0.5833333333333334,29,12,9
43044360,COL ESTADUAL DOUTOR DORVALINO LUCIANO DE SOUZA,Cerro Grande,43,10,14,24,0.5833333333333334,18,3,0
43124356,COL ESTADUAL CONEGO AFONSO SCHERER,Santa Maria do Herval,43,10,14,24,0.5833333333333334,11,1,0
43062695,COL ESTADUAL PROFESSOR JACOB MILTON BENNEMANN,Feliz,43,13,18,31,0.5806451612903226,14,6,0
43169627,INST EST EDUC SAO FRANCISCO SOLANO,Não-Me-Toque,43,13,18,31,0.5806451612903226,11,5,11
43122043,ESC EST ENS MED DR WALTER JOBIM,Santa Maria,43,13,18,31,0.5806451612903226,17,1,0
43121942,ESC EST ENS MED PROFESSORA MARIA ROCHA,Santa Maria,43,39,53,92,0.5760869565217391,63,13,43
43123279,ESC EST ENS MED DOM ANTONIO REIS,Santa Maria,43,9,12,21,0.5714285714285714,12,1,0
43113672,INST EST EDUC JUVENAL MILLER,Rio Grande,43,28,37,65,0.5692307692307692,32,13,3
43018211,INST EST EDUC FELIPE ROMAN ROS,Arvorezinha,43,19,25,44,0.5681818181818182,24,6,0
43162886,ESC EST ENS MED URUGUAIANA,Uruguaiana,43,23,30,53,0.5660377358490566,24,4,9
43173136,INST EST EDUC DR CARLOS VIDAL DE OLIVEIRA,Sant'Ana do Livramento,43,10,13,23,0.5652173913043478,13,4,0
43140866,ESC TECNICA EST SANTA ISABEL,São Lourenço do Sul,43,10,13,23,0.5652173913043478,23,14,12
43153640,ESC EST ENS MED BARAO DE ANTONINA,Taquari,43,10,13,23,0.5652173913043478,15,2,0
43113788,ESC EST ENS MED ENG ROBERTO BASTOS TELLECHEA,Rio Grande,43,28,36,64,0.5625,21,1,0
43121519,ESC EST ENS MED FREDERICO KOPS,Sinimbu,43,7,9,16,0.5625,12,1,0
43151728,INST EST EDUC NOSSA SENHORA IMACULADA,Tapera,43,18,23,41,0.5609756097560976,31,12,16
43113478,ESC EST ENS MED BRIGADEIRO JOSE DA SILVA PAES,Rio Grande,43,15,19,34,0.5588235294117647,22,6,0
43037429,ESC EST ENS MED JOAO DE DEUS NUNES,Canguçu,43,20,25,45,0.5555555555555556,20,1,0
43141544,INST EST EDUC PROFESSOR OSMAR POPPE,São Luiz Gonzaga,43,16,20,36,0.5555555555555556,22,8,0
43067891,ESC EST ENS MED CARLOS GAKLIK,Senador Salgado Filho,43,4,5,9,0.5555555555555556,8,1,0
43159028,ESC EST ENS MED AGUIA DE HAIA,Três Passos,43,13,16,29,0.5517241379310345,8,8,7
43063780,INST ESTADUAL ERNESTO FERREIRA MAIA,Fontoura Xavier,43,22,27,49,0.5510204081632653,20,4,0
43156576,INST EST EDUC BARAO DE TRAMANDAI,Tramandaí,43,22,27,49,0.5510204081632653,29,15,8
43056199,COL AGRIC EST ANGELO EMILIO GRANDO,Erechim,43,10,12,22,0.5454545454545454,22,10,0
43038441,INST EST EDUC DR CARLOS CHAGAS,Canoas,43,21,25,46,0.5434782608695652,40,12,0
